Age,Nationality,Employment_Status,Income_Bin,Income_Numeric,Persona,Willingness_to_Invest,Budget_Bin,Budget_Numeric,Property_Type,Preferred_Areas,Purpose,Research_Sources,Analytics_Importance,Selection_Criteria,Amenities,Research_Duration,Challenges,Lost_Deal,Analytics_Met_Needs,Premium_for_Analytics,Online_Platform_Usage,Influencer,Viewing_Method,Data_Sharing,Analytics_Comfort,Waitlist_Interest
55+,Expat – Arab,Employed,"10,000–20,000",15164,Other,Neutral,"500,000–1,000,000",905742,Villa/Townhouse,Other,Vacation home,"Property portals,Agents,Social media",Very important,"Resale value,Rental yield","Parking,School nearby,Other,Gym",More than 3 months,Too many listings,No,Somewhat,No,Weekly,Self,Physical visit,Yes,4,Yes
35-44,UAE National,Student,"20,000–40,000",29561,Investor,Unlikely,"500,000–1,000,000",648118,Apartment,"Jumeirah Village Circle,Arabian Ranches,Dubai Marina",Rental income,Property portals,Very important,"Location,Community amenities,Developer reputation","Parking,School nearby,Gym,Other",More than 3 months,"Confusing legal process,Fake listings",No,Somewhat,No,Daily,Family,Virtual tour,No,3,Yes
25-34,Expat – Asian,Employed,"20,000–40,000",24178,First-time buyer,Unlikely,"1,000,000–2,000,000",882007,Apartment,"Business Bay,Jumeirah Village Circle",Vacation home,Property portals,Somewhat important,"Rental yield,Price per sq.ft,Mortgage eligibility","Close to metro,Swimming pool,Gym",2–4 weeks,Too many listings,No,No,Yes,Daily,Family,Online photos only,Maybe,4,Yes
25-34,Expat – Asian,Employed,"Below 10,000",7470,Renter,Likely,"500,000–1,000,000",248514,Villa/Townhouse,"Other,Arabian Ranches",Rental income,"Property portals,Agents,Company recommendations",Neutral,"Community amenities,Location","Shopping mall,Close to metro,Parking",1–3 months,"Lack of analytics/data,Fake listings",Yes,Somewhat,No,Rarely,Family,Virtual tour,Yes,5,Yes
25-34,Expat – Arab,Employed,"Below 10,000",11241,First-time buyer,Very unlikely,"500,000–1,000,000",858751,Apartment,Other,Self-use,"Property portals,Agents",Very important,"Rental yield,Location,Developer reputation","Shopping mall,Parking",2–4 weeks,Fake listings,No,No,No,Rarely,Self,Virtual tour,Maybe,3,Yes
18-24,Expat – Western,Employed,"10,000–20,000",11999,Renter,Unlikely,"500,000–1,000,000",730540,Apartment,"Jumeirah Village Circle,Downtown Dubai",Self-use,"Property portals,Social media,Agents",Very important,"Location,Price per sq.ft,Mortgage eligibility","School nearby,Parking,Security",More than 3 months,Poor agent response,No,No,Yes,Daily,Family,Virtual tour,No,1,No
25-34,Expat – Western,Self-employed,"10,000–20,000",14177,First-time buyer,Unlikely,"Below 500,000",200000,Other,Palm Jumeirah,Self-use,"Social media,Agents,Friends/Family",Somewhat important,"Developer reputation,Price per sq.ft","Close to metro,Swimming pool,Parking",More than 3 months,"Too many listings,Confusing legal process",Yes,No,No,Monthly,Self,Online photos only,No,4,Maybe
35-44,Expat – Asian,Homemaker,"60,000+",105132,First-time buyer,Very likely,"1,000,000–2,000,000",1414299,Apartment,"Palm Jumeirah,Other,Business Bay",Self-use,"Friends/Family,Property portals",Very important,"Mortgage eligibility,Price per sq.ft,Developer reputation",Parking,More than 3 months,"Too many listings,Lack of analytics/data,Fake listings",No,Somewhat,Maybe,Daily,Self,Online photos only,Maybe,4,Maybe
35-44,Expat – Arab,Employed,"20,000–40,000",20843,Renter,Likely,"500,000–1,000,000",903637,Other,Jumeirah Village Circle,Self-use,Property portals,Somewhat important,"Resale value,Rental yield,Community amenities","Security,Parking,Gym",1–3 months,"Fake listings,Confusing legal process",No,No,No,Weekly,Self,Physical visit,No,2,Maybe
25-34,UAE National,Self-employed,"Below 10,000",9725,Investor,Unlikely,"Below 500,000",200000,Commercial,"Jumeirah Village Circle,Dubai Marina,Business Bay",Vacation home,"Friends/Family,Property portals,Agents",Somewhat important,"Resale value,Price per sq.ft,Rental yield","Swimming pool,Other,Security",2–4 weeks,Lack of analytics/data,Yes,Somewhat,No,Daily,Family,Physical visit,Maybe,4,Maybe
25-34,GCC National,Employed,"10,000–20,000",13376,Developer,Unlikely,"Below 500,000",257077,Apartment,"Other,Downtown Dubai",Self-use,"Company recommendations,Agents,Property portals",Somewhat important,"Rental yield,Location,Mortgage eligibility",Parking,2–4 weeks,"Not enough info on returns,Lack of analytics/data",Yes,No,Maybe,Monthly,Self,Agent video call,Yes,1,Yes
35-44,Expat – Asian,Employed,"Below 10,000",6293,Other,Likely,"2,000,000–5,000,000",2727334,Apartment,Downtown Dubai,Rental income,"Company recommendations,Friends/Family,Property portals",Neutral,"Price per sq.ft,Developer reputation,Community amenities","Swimming pool,Parking,Security",2–4 weeks,"Not enough info on returns,Too many listings,Other",No,No,Yes,Daily,Friends,Online photos only,No,2,Yes
25-34,Expat – Asian,Self-employed,"Below 10,000",5965,Renter,Very unlikely,"Below 500,000",460052,Apartment,"Downtown Dubai,Dubai Marina",Self-use,"Friends/Family,Other",Not very important,"Community amenities,Rental yield","Swimming pool,Close to metro,Other,Shopping mall",1–3 months,"Too many listings,Confusing legal process",No,No,Maybe,Daily,Family,Virtual tour,Yes,3,No
35-44,Expat – Arab,Self-employed,"20,000–40,000",26053,Developer,Very unlikely,"5,000,000+",3754636,Apartment,Other,Self-use,Other,Somewhat important,"Location,Rental yield,Mortgage eligibility","Shopping mall,Swimming pool,Close to metro",2–4 weeks,Poor agent response,No,Yes,Yes,Weekly,Family,Agent video call,Maybe,3,Maybe
35-44,Expat – Arab,Self-employed,"Below 10,000",9888,First-time buyer,Likely,"500,000–1,000,000",794138,Apartment,"Palm Jumeirah,Arabian Ranches,Other",Rental income,"Agents,Property portals",Very important,"Price per sq.ft,Location","Swimming pool,Close to metro,Gym,Parking",Less than 1 week,"Poor agent response,Fake listings,Confusing legal process",Yes,Somewhat,Maybe,Daily,Family,Physical visit,Yes,2,Maybe
45-54,Expat – Asian,Employed,"40,000–60,000",45485,Other,Likely,"Below 500,000",255756,Villa/Townhouse,"Business Bay,Other",Vacation home,"Property portals,Agents,Friends/Family",Neutral,"Rental yield,Location","Gym,Security,Parking",1–3 months,Fake listings,Yes,No,Maybe,Monthly,Agent,Physical visit,Maybe,5,No
18-24,UAE National,Employed,"60,000+",95644,Investor,Unlikely,"1,000,000–2,000,000",1508366,Land,"Business Bay,Arabian Ranches,Dubai Marina",Rental income,"Agents,Friends/Family",Somewhat important,"Location,Price per sq.ft,Other","Shopping mall,Swimming pool,Close to metro,Parking",1–3 months,"Too many listings,Lack of analytics/data",No,No,Yes,Monthly,Self,Virtual tour,Yes,4,Yes
35-44,Expat – Asian,Employed,"60,000+",76926,Renter,Very likely,"500,000–1,000,000",949559,Villa/Townhouse,"Dubai Marina,Downtown Dubai,Business Bay",Self-use,"Social media,Property portals,Friends/Family",Not very important,"Rental yield,Price per sq.ft,Community amenities","School nearby,Swimming pool,Security",2–4 weeks,Too many listings,No,No,Yes,Never,Social media influencers,Virtual tour,Yes,3,Maybe
45-54,Expat – Asian,Business owner,"10,000–20,000",19103,Investor,Very likely,"500,000–1,000,000",742789,Apartment,Jumeirah Village Circle,Self-use,Agents,Not very important,"Rental yield,Community amenities","Parking,Swimming pool",More than 3 months,"Confusing legal process,Fake listings",No,No,No,Weekly,Family,Online photos only,Maybe,3,Yes
25-34,Expat – Asian,Student,"10,000–20,000",15649,Agent,Likely,"500,000–1,000,000",1051668,Apartment,"Downtown Dubai,Palm Jumeirah,Dubai Marina",Rental income,"Social media,Property portals",Very important,"Developer reputation,Resale value,Location",School nearby,1–2 weeks,"Not enough info on returns,Fake listings",No,No,Yes,Weekly,Online reviews,Agent video call,Maybe,4,Maybe
25-34,Expat – Western,Retired,"10,000–20,000",14520,First-time buyer,Very unlikely,"5,000,000+",943244,Apartment,"Arabian Ranches,Dubai Marina,Palm Jumeirah",Rental income,"Friends/Family,Property portals,Agents",Very important,"Location,Rental yield,Price per sq.ft",Swimming pool,2–4 weeks,"Not enough info on returns,Fake listings",No,Somewhat,No,Weekly,Family,Physical visit,Maybe,4,Maybe
25-34,Expat – Western,Employed,"Below 10,000",6425,Other,Unlikely,"2,000,000–5,000,000",3465833,Land,"Business Bay,Dubai Marina,Downtown Dubai",Flip/Resell,"Property portals,Agents",Very important,"Price per sq.ft,Rental yield","Close to metro,Security,Swimming pool",Less than 1 week,Other,No,Somewhat,No,Weekly,Friends,Physical visit,Maybe,4,Yes
35-44,Expat – Arab,Self-employed,"20,000–40,000",23960,Investor,Unlikely,"1,000,000–2,000,000",1140258,Commercial,"Jumeirah Village Circle,Business Bay,Palm Jumeirah",Rental income,Social media,Somewhat important,"Rental yield,Resale value,Developer reputation",Close to metro,2–4 weeks,"Lack of analytics/data,Too many listings",No,Somewhat,Maybe,Weekly,Social media influencers,Physical visit,Yes,1,Maybe
45-54,Expat – Western,Employed,"10,000–20,000",13350,Investor,Likely,"Below 500,000",248204,Villa/Townhouse,"Palm Jumeirah,Dubai Marina,Business Bay",Self-use,"Agents,Friends/Family",Neutral,"Community amenities,Rental yield","Close to metro,Parking,Swimming pool",2–4 weeks,"Lack of analytics/data,Too many listings",No,Somewhat,No,Weekly,Family,Virtual tour,No,1,Maybe
35-44,Expat – Western,Employed,"Below 10,000",7148,Renter,Very likely,"500,000–1,000,000",625052,Apartment,"Dubai Marina,Arabian Ranches,Downtown Dubai",Self-use,"Property portals,Agents,Social media",Not at all important,"Mortgage eligibility,Developer reputation,Price per sq.ft","Close to metro,Parking,Gym,Security",2–4 weeks,"Too many listings,Not enough info on returns,Poor agent response",No,Somewhat,No,Monthly,Family,Physical visit,Maybe,1,Yes
25-34,Expat – Asian,Employed,"10,000–20,000",14992,Investor,Unlikely,"1,000,000–2,000,000",1291569,Commercial,"Business Bay,Jumeirah Village Circle,Arabian Ranches",Rental income,"Agents,Social media,Property portals",Very important,"Mortgage eligibility,Price per sq.ft","School nearby,Shopping mall,Swimming pool",1–3 months,Fake listings,Yes,Somewhat,No,Monthly,Agent,Agent video call,Yes,1,Yes
35-44,Expat – Asian,Self-employed,"60,000+",77194,Investor,Unlikely,"1,000,000–2,000,000",1419176,Commercial,"Dubai Marina,Palm Jumeirah",Self-use,Friends/Family,Somewhat important,"Price per sq.ft,Resale value","Security,Shopping mall,Swimming pool",1–3 months,"Poor agent response,Not enough info on returns,Lack of analytics/data",Yes,Somewhat,No,Daily,Self,Physical visit,No,1,Maybe
35-44,Expat – Asian,Student,"20,000–40,000",33646,First-time buyer,Likely,"500,000–1,000,000",950581,Villa/Townhouse,"Jumeirah Village Circle,Dubai Marina,Business Bay",Rental income,Agents,Very important,"Price per sq.ft,Community amenities,Location","Gym,Swimming pool",1–3 months,"Poor agent response,Lack of analytics/data",Yes,No,No,Weekly,Friends,Physical visit,No,5,Maybe
25-34,Expat – Asian,Employed,"Below 10,000",6663,First-time buyer,Unlikely,"2,000,000–5,000,000",3335414,Apartment,"Dubai Marina,Downtown Dubai,Jumeirah Village Circle",Flip/Resell,"Property portals,Social media",Neutral,"Rental yield,Location,Community amenities",Security,1–3 months,"Other,Fake listings",No,No,Maybe,Rarely,Family,Agent video call,Yes,5,Maybe
25-34,Expat – Asian,Homemaker,"10,000–20,000",14771,Renter,Likely,"500,000–1,000,000",1033267,Land,Palm Jumeirah,Flip/Resell,"Friends/Family,Property portals,Company recommendations",Somewhat important,"Resale value,Developer reputation",Swimming pool,1–3 months,"Poor agent response,Fake listings,Too many listings",No,No,No,Monthly,Agent,Virtual tour,No,4,No
25-34,Expat – Arab,Homemaker,"10,000–20,000",18910,Renter,Likely,"500,000–1,000,000",966007,Villa/Townhouse,"Downtown Dubai,Dubai Marina,Arabian Ranches",Rental income,"Social media,Agents,Property portals",Somewhat important,"Community amenities,Mortgage eligibility,Rental yield",Close to metro,1–3 months,"Poor agent response,Other",Yes,No,Maybe,Daily,Agent,Virtual tour,No,3,Maybe
25-34,GCC National,Employed,"20,000–40,000",32719,Other,Neutral,"500,000–1,000,000",621178,Commercial,"Other,Downtown Dubai",Self-use,"Friends/Family,Property portals,Agents",Very important,"Rental yield,Price per sq.ft","Swimming pool,Gym",1–2 weeks,"Poor agent response,Confusing legal process",Yes,Yes,Yes,Daily,Self,Agent video call,Maybe,5,Yes
25-34,Expat – Western,Employed,"Below 10,000",7069,Investor,Unlikely,"2,000,000–5,000,000",4083300,Apartment,"Other,Dubai Marina",Self-use,"Property portals,Agents,Friends/Family",Neutral,"Community amenities,Location",Gym,More than 3 months,"Fake listings,Lack of analytics/data,Too many listings",Yes,No,Yes,Daily,Agent,Physical visit,Maybe,3,Yes
35-44,Expat – Western,Employed,"20,000–40,000",37769,Renter,Likely,"5,000,000+",7063248,Apartment,"Business Bay,Jumeirah Village Circle,Downtown Dubai",Self-use,Property portals,Very important,"Mortgage eligibility,Location","Gym,Security",1–3 months,"Too many listings,Not enough info on returns,Other",No,Somewhat,No,Rarely,Family,Online photos only,No,5,No
18-24,Expat – Asian,Employed,"Below 10,000",6086,Investor,Very likely,"1,000,000–2,000,000",1502284,Apartment,"Dubai Marina,Downtown Dubai",Self-use,"Social media,Agents",Not very important,"Price per sq.ft,Resale value,Location","Parking,Gym,Security",1–3 months,Fake listings,Yes,No,No,Daily,Family,Online photos only,No,4,Maybe
45-54,GCC National,Employed,"10,000–20,000",14526,Agent,Very likely,"1,000,000–2,000,000",1741422,Commercial,"Palm Jumeirah,Business Bay",Rental income,"Agents,Social media,Property portals",Very important,"Community amenities,Resale value,Rental yield","Close to metro,Shopping mall,Swimming pool,School nearby",1–3 months,"Poor agent response,Confusing legal process,Too many listings",Yes,Somewhat,No,Monthly,Friends,Physical visit,No,4,Maybe
25-34,Expat – Western,Employed,"Below 10,000",7239,First-time buyer,Very likely,"500,000–1,000,000",840840,Apartment,"Jumeirah Village Circle,Dubai Marina,Business Bay",Flip/Resell,"Property portals,Friends/Family",Somewhat important,"Location,Community amenities,Mortgage eligibility","Security,Parking,Other",Less than 1 week,"Poor agent response,Fake listings,Too many listings",No,No,Maybe,Monthly,Social media influencers,Physical visit,Maybe,4,Yes
18-24,Expat – Asian,Business owner,"60,000+",89019,First-time buyer,Very likely,"1,000,000–2,000,000",1443792,Apartment,"Palm Jumeirah,Other",Vacation home,Agents,Somewhat important,"Developer reputation,Price per sq.ft,Rental yield","Shopping mall,Other,Gym",1–2 weeks,"Poor agent response,Too many listings,Not enough info on returns",Yes,Yes,Yes,Weekly,Family,Agent video call,Yes,4,Yes
25-34,Expat – Arab,Business owner,"10,000–20,000",13810,First-time buyer,Neutral,"500,000–1,000,000",851316,Apartment,"Jumeirah Village Circle,Other",Flip/Resell,"Property portals,Agents",Not very important,"Price per sq.ft,Location,Developer reputation","Shopping mall,Parking",More than 3 months,Fake listings,No,No,Yes,Monthly,Self,Physical visit,Maybe,3,Maybe
45-54,Expat – Asian,Business owner,"Below 10,000",4000,Investor,Very likely,"Below 500,000",452465,Apartment,"Business Bay,Dubai Marina",Self-use,"Property portals,Agents,Social media",Very important,"Rental yield,Price per sq.ft,Community amenities","Parking,School nearby,Security,Swimming pool",1–3 months,Poor agent response,Yes,No,Yes,Daily,Self,Online photos only,Maybe,4,Yes
25-34,Expat – Western,Employed,"10,000–20,000",16132,First-time buyer,Very unlikely,"500,000–1,000,000",906794,Villa/Townhouse,"Arabian Ranches,Palm Jumeirah,Dubai Marina",Self-use,"Friends/Family,Social media,Property portals",Not very important,"Location,Mortgage eligibility,Price per sq.ft","School nearby,Gym,Close to metro",1–2 weeks,"Lack of analytics/data,Poor agent response,Not enough info on returns",No,No,Yes,Weekly,Self,Physical visit,Yes,3,Maybe
25-34,GCC National,Employed,"60,000+",67502,Investor,Very likely,"500,000–1,000,000",879917,Apartment,"Business Bay,Dubai Marina,Other",Self-use,"Agents,Property portals,Social media",Neutral,"Price per sq.ft,Community amenities","Shopping mall,Parking,Security",2–4 weeks,"Fake listings,Not enough info on returns,Too many listings",No,No,Maybe,Daily,Self,Virtual tour,Maybe,4,Yes
35-44,GCC National,Homemaker,"10,000–20,000",16959,Renter,Very likely,"Below 500,000",200000,Apartment,"Palm Jumeirah,Downtown Dubai,Jumeirah Village Circle",Flip/Resell,"Property portals,Agents,Social media",Very important,"Community amenities,Resale value,Location","Gym,Swimming pool",More than 3 months,Poor agent response,No,No,Maybe,Never,Self,Physical visit,Yes,4,No
25-34,UAE National,Employed,"40,000–60,000",49373,First-time buyer,Very likely,"500,000–1,000,000",532168,Apartment,"Business Bay,Dubai Marina",Self-use,Property portals,Very important,"Community amenities,Price per sq.ft",Security,1–3 months,Confusing legal process,No,Somewhat,Yes,Monthly,Social media influencers,Virtual tour,Yes,3,Yes
25-34,Other,Retired,"20,000–40,000",22560,Agent,Likely,"500,000–1,000,000",891024,Apartment,"Palm Jumeirah,Dubai Marina,Other",Self-use,"Property portals,Friends/Family",Somewhat important,"Resale value,Other,Location",Close to metro,1–3 months,Not enough info on returns,No,No,Maybe,Monthly,Social media influencers,Physical visit,Maybe,5,Maybe
25-34,Expat – Arab,Self-employed,"Below 10,000",9544,First-time buyer,Likely,"1,000,000–2,000,000",1179601,Villa/Townhouse,Palm Jumeirah,Rental income,"Company recommendations,Property portals",Somewhat important,"Location,Price per sq.ft,Community amenities","Close to metro,Swimming pool,Shopping mall,Security",1–2 weeks,"Fake listings,Lack of analytics/data",No,No,Maybe,Weekly,Family,Online photos only,Maybe,5,No
25-34,Expat – Asian,Employed,"20,000–40,000",16670,Investor,Likely,"1,000,000–2,000,000",1509374,Villa/Townhouse,Palm Jumeirah,Vacation home,Property portals,Very important,"Mortgage eligibility,Rental yield","Parking,Close to metro",More than 3 months,Poor agent response,Yes,Yes,No,Daily,Self,Physical visit,Yes,5,Maybe
18-24,Expat – Arab,Business owner,"Below 10,000",6158,Investor,Likely,"500,000–1,000,000",722488,Villa/Townhouse,"Other,Dubai Marina,Jumeirah Village Circle",Self-use,"Property portals,Agents,Social media",Somewhat important,"Location,Mortgage eligibility","Security,Gym,Parking",1–3 months,"Too many listings,Fake listings",No,Somewhat,No,Rarely,Self,Agent video call,Maybe,3,Maybe
25-34,UAE National,Self-employed,"20,000–40,000",25873,Investor,Likely,"5,000,000+",8097336,Villa/Townhouse,"Dubai Marina,Other,Business Bay",Self-use,Property portals,Somewhat important,"Developer reputation,Price per sq.ft",Other,1–3 months,Other,Yes,Somewhat,No,Rarely,Family,Online photos only,Yes,3,Maybe
25-34,Expat – Asian,Student,"20,000–40,000",24316,Investor,Very likely,"1,000,000–2,000,000",909934,Villa/Townhouse,Business Bay,Rental income,Social media,Not very important,"Mortgage eligibility,Resale value","Swimming pool,Parking",1–2 weeks,"Lack of analytics/data,Fake listings,Too many listings",No,No,Maybe,Monthly,Family,Physical visit,Maybe,4,Maybe
55+,Expat – Asian,Retired,"20,000–40,000",26129,Investor,Likely,"500,000–1,000,000",704922,Apartment,"Arabian Ranches,Jumeirah Village Circle,Dubai Marina",Self-use,Property portals,Very important,"Developer reputation,Mortgage eligibility,Price per sq.ft","Gym,Shopping mall",1–3 months,"Confusing legal process,Too many listings,Not enough info on returns",Yes,No,Maybe,Daily,Self,Virtual tour,Yes,3,Maybe
25-34,Expat – Asian,Employed,"20,000–40,000",32752,Investor,Likely,"500,000–1,000,000",583713,Apartment,Palm Jumeirah,Rental income,"Friends/Family,Agents,Property portals",Somewhat important,"Location,Rental yield","Parking,Swimming pool",2–4 weeks,Lack of analytics/data,Yes,Yes,No,Weekly,Friends,Agent video call,No,3,Maybe
25-34,Expat – Asian,Employed,"10,000–20,000",13503,First-time buyer,Very likely,"500,000–1,000,000",985588,Villa/Townhouse,"Business Bay,Jumeirah Village Circle,Palm Jumeirah",Rental income,"Agents,Friends/Family,Property portals",Very important,"Developer reputation,Location","Close to metro,Other",2–4 weeks,"Poor agent response,Fake listings",No,No,Maybe,Weekly,Family,Virtual tour,Maybe,3,No
18-24,Expat – Western,Homemaker,"40,000–60,000",46239,Investor,Unlikely,"2,000,000–5,000,000",2365494,Villa/Townhouse,"Arabian Ranches,Jumeirah Village Circle,Palm Jumeirah",Self-use,Social media,Somewhat important,"Mortgage eligibility,Price per sq.ft","Parking,Gym,Security,Other",1–2 weeks,"Too many listings,Fake listings,Not enough info on returns",No,No,No,Weekly,Agent,Agent video call,No,4,Yes
35-44,Expat – Asian,Employed,"Below 10,000",6260,Investor,Unlikely,"Below 500,000",368302,Apartment,"Other,Downtown Dubai,Dubai Marina",Other,Property portals,Not very important,"Rental yield,Location,Developer reputation","Parking,School nearby,Gym",2–4 weeks,"Too many listings,Lack of analytics/data",No,Somewhat,Maybe,Rarely,Agent,Virtual tour,Yes,4,Yes
25-34,Expat – Asian,Self-employed,"20,000–40,000",26911,First-time buyer,Likely,"Below 500,000",473581,Villa/Townhouse,"Business Bay,Dubai Marina",Flip/Resell,"Friends/Family,Company recommendations",Neutral,"Location,Rental yield","Parking,Security,Shopping mall,Close to metro",1–3 months,"Poor agent response,Too many listings,Lack of analytics/data",No,Yes,No,Monthly,Family,Physical visit,Yes,4,Yes
25-34,Other,Self-employed,"20,000–40,000",27031,Investor,Likely,"1,000,000–2,000,000",1457642,Villa/Townhouse,"Arabian Ranches,Dubai Marina,Palm Jumeirah",Flip/Resell,Property portals,Very important,"Resale value,Developer reputation,Price per sq.ft","Close to metro,Security,Gym",1–3 months,"Lack of analytics/data,Not enough info on returns",No,Somewhat,No,Daily,Online reviews,Physical visit,Yes,4,Maybe
25-34,Other,Self-employed,"20,000–40,000",21567,Other,Unlikely,"1,000,000–2,000,000",1545374,Apartment,Dubai Marina,Rental income,Agents,Somewhat important,"Price per sq.ft,Community amenities,Resale value","Parking,School nearby,Security,Close to metro",More than 3 months,Too many listings,No,Somewhat,Maybe,Daily,Family,Physical visit,Yes,4,No
25-34,Expat – Asian,Employed,"10,000–20,000",13043,Renter,Very likely,"1,000,000–2,000,000",1534548,Apartment,Palm Jumeirah,Self-use,Agents,Somewhat important,"Location,Mortgage eligibility,Community amenities","Shopping mall,Parking,Close to metro",1–3 months,"Confusing legal process,Too many listings,Not enough info on returns",No,No,Yes,Monthly,Family,Physical visit,Yes,4,Maybe
25-34,Expat – Asian,Business owner,"Below 10,000",4787,Investor,Unlikely,"500,000–1,000,000",591520,Other,"Dubai Marina,Other,Jumeirah Village Circle",Other,Agents,Somewhat important,"Community amenities,Resale value,Location","Gym,Parking,Close to metro,Shopping mall",2–4 weeks,"Lack of analytics/data,Other,Fake listings",No,No,Maybe,Daily,Online reviews,Online photos only,Yes,4,Maybe
25-34,Expat – Arab,Self-employed,"20,000–40,000",18168,Agent,Unlikely,"500,000–1,000,000",793779,Villa/Townhouse,"Other,Arabian Ranches,Palm Jumeirah",Self-use,"Property portals,Agents",Somewhat important,"Price per sq.ft,Rental yield,Location","Security,Gym",1–3 months,"Poor agent response,Lack of analytics/data",No,No,No,Monthly,Online reviews,Agent video call,No,2,Maybe
25-34,Expat – Asian,Employed,"10,000–20,000",12867,Investor,Unlikely,"2,000,000–5,000,000",3331651,Villa/Townhouse,Palm Jumeirah,Rental income,Agents,Somewhat important,"Location,Developer reputation,Price per sq.ft","Gym,Close to metro,Swimming pool,Shopping mall",2–4 weeks,"Poor agent response,Too many listings,Lack of analytics/data",No,No,Maybe,Monthly,Family,Physical visit,Maybe,1,No
25-34,Expat – Asian,Employed,"10,000–20,000",13586,Investor,Very unlikely,"1,000,000–2,000,000",1598805,Other,"Downtown Dubai,Other",Rental income,"Property portals,Social media,Agents",Not very important,"Resale value,Price per sq.ft","Parking,Gym,Close to metro",2–4 weeks,Poor agent response,Yes,No,No,Weekly,Agent,Physical visit,Maybe,3,Maybe
25-34,Expat – Western,Retired,"10,000–20,000",15465,Renter,Likely,"1,000,000–2,000,000",1167321,Apartment,"Jumeirah Village Circle,Arabian Ranches",Rental income,"Social media,Property portals",Not very important,"Price per sq.ft,Location,Developer reputation",Parking,1–3 months,"Fake listings,Confusing legal process",No,No,Yes,Daily,Self,Agent video call,Maybe,4,Maybe
35-44,Expat – Asian,Self-employed,"Below 10,000",9614,Renter,Unlikely,"1,000,000–2,000,000",1256014,Villa/Townhouse,"Dubai Marina,Business Bay,Palm Jumeirah",Self-use,"Company recommendations,Property portals,Social media",Somewhat important,"Location,Price per sq.ft,Other","Swimming pool,Parking,Gym",1–3 months,"Too many listings,Fake listings",No,No,Yes,Weekly,Agent,Virtual tour,Maybe,1,Yes
25-34,GCC National,Self-employed,"20,000–40,000",27726,Investor,Likely,"500,000–1,000,000",586798,Villa/Townhouse,"Dubai Marina,Arabian Ranches",Rental income,"Friends/Family,Property portals",Somewhat important,"Rental yield,Mortgage eligibility,Price per sq.ft","Swimming pool,Parking",1–3 months,"Poor agent response,Too many listings,Lack of analytics/data",No,Yes,No,Daily,Online reviews,Physical visit,Maybe,2,Yes
25-34,UAE National,Self-employed,"40,000–60,000",53030,First-time buyer,Unlikely,"Below 500,000",444749,Apartment,"Dubai Marina,Arabian Ranches,Jumeirah Village Circle",Other,"Property portals,Friends/Family",Very important,"Mortgage eligibility,Resale value","Shopping mall,Parking,Swimming pool",1–3 months,Too many listings,No,Somewhat,Yes,Daily,Friends,Agent video call,Yes,3,Maybe
25-34,Expat – Western,Employed,"20,000–40,000",28878,First-time buyer,Neutral,"500,000–1,000,000",857629,Apartment,"Jumeirah Village Circle,Dubai Marina",Vacation home,"Agents,Company recommendations",Neutral,"Developer reputation,Location,Community amenities","Parking,Gym,Swimming pool,Security",More than 3 months,Not enough info on returns,Yes,No,Yes,Monthly,Online reviews,Agent video call,No,3,No
25-34,Expat – Western,Employed,"40,000–60,000",52230,First-time buyer,Very likely,"2,000,000–5,000,000",3282611,Apartment,Jumeirah Village Circle,Rental income,"Friends/Family,Agents",Very important,"Price per sq.ft,Location","Swimming pool,Parking,Gym",2–4 weeks,"Lack of analytics/data,Confusing legal process",No,No,No,Rarely,Agent,Physical visit,No,1,Maybe
25-34,Expat – Western,Employed,"10,000–20,000",18166,First-time buyer,Neutral,"500,000–1,000,000",227264,Apartment,"Dubai Marina,Downtown Dubai",Rental income,Property portals,Somewhat important,"Mortgage eligibility,Community amenities","School nearby,Close to metro,Parking,Gym",1–3 months,"Not enough info on returns,Other",No,No,No,Weekly,Agent,Physical visit,No,4,Yes
35-44,Expat – Asian,Employed,"20,000–40,000",23404,Renter,Likely,"500,000–1,000,000",669967,Villa/Townhouse,"Downtown Dubai,Jumeirah Village Circle",Self-use,"Social media,Other",Neutral,"Price per sq.ft,Location","Swimming pool,Close to metro",1–3 months,"Confusing legal process,Too many listings,Poor agent response",No,Somewhat,No,Weekly,Social media influencers,Physical visit,No,4,Yes
35-44,Expat – Western,Self-employed,"60,000+",83686,Renter,Neutral,"Below 500,000",209562,Villa/Townhouse,Arabian Ranches,Rental income,"Social media,Other",Very important,"Mortgage eligibility,Developer reputation,Resale value","Gym,Security,Swimming pool",2–4 weeks,Lack of analytics/data,No,No,Yes,Weekly,Friends,Agent video call,No,5,No
45-54,Expat – Asian,Employed,"60,000+",80411,Renter,Likely,"500,000–1,000,000",813305,Villa/Townhouse,Business Bay,Flip/Resell,Property portals,Somewhat important,"Rental yield,Community amenities","Gym,Shopping mall,Parking,Swimming pool",1–3 months,"Other,Lack of analytics/data,Poor agent response",No,No,Maybe,Daily,Online reviews,Virtual tour,Maybe,4,Maybe
25-34,Expat – Western,Employed,"10,000–20,000",16826,First-time buyer,Unlikely,"Below 500,000",291091,Apartment,"Other,Dubai Marina",Vacation home,"Property portals,Agents",Very important,"Developer reputation,Community amenities,Location","Gym,Shopping mall,Close to metro,Parking",2–4 weeks,"Fake listings,Too many listings",No,Somewhat,Yes,Daily,Social media influencers,Physical visit,No,1,Yes
